!!SBtab DocumentName='E. coli central carbon metabolism - ECM result' TableType='Quantity' TableName='Predicted concentations' Document='ECM metabolic state' Unit='mM' SBtabVersion='1.0'						
!QuantityType	!Compound	!Compound:Identifiers:kegg.compound	data	fixed	initial	emc3sp
concentration	_S__Malate	C00149	1.69	NaN	0.00752	0.396
concentration	Acetyl_CoA	C00024	0.606	NaN	7.08	0.1
concentration	Fumarate	C00122	0.548	NaN	7.15	0.172
concentration	cis_Aconitate	C00417	0.0161	NaN	0.00125	0.0758
concentration	_6_Phospho_D_gluconate	C00345	0.279	NaN	0.00141	0.0991
concentration	Orthophosphate	C00009	NaN	NaN	8.91	1.53
concentration	Pyruvate	C00022	1.41	NaN	0.00112	0.0926
concentration	NADPplus	C00006	0.0113	NaN	8.91	0.101
concentration	NADPH	C00005	0.114	NaN	0.00112	0.0995
concentration	NADH	C00004	0.0274	NaN	0.0011	0.00331
concentration	NADplus	C00003	2.11	NaN	9.1	8.44
concentration	ATP	C00002	3.45	NaN	0.00132	0.197
concentration	H2O	C00001	NaN	NaN	0.00112	0.1
concentration	_2_Oxoglutarate	C00026	0.637	NaN	0.00112	0.1
concentration	Oxaloacetate	C00036	NaN	NaN	0.0011	0.017
concentration	Ubiquinone	C00399	NaN	NaN	8.91	0.101
concentration	D_Erythrose_4_phosphate	C00279	0.0266	NaN	0.00112	0.103
concentration	Ubiquinol	C00390	NaN	NaN	0.00112	0.1
concentration	ADP	C00008	0.605	NaN	0.841	0.124
concentration	Isocitrate	C00311	0.00816	NaN	0.00109	0.0167
concentration	D_Ribulose_5_phosphate	C00199	0.659	NaN	8.91	0.176
concentration	D_Xylulose_5_phosphate	C00231	0.595	NaN	7.94	0.403
concentration	D_Glucose_6_phosphate	C00092	0.949	NaN	8.15	0.561
concentration	_3_Phospho_D_glyceroyl_phosphate	C00236	0.0508	NaN	0.00112	0.0217
concentration	CoA	C00010	1.37	NaN	0.00112	0.0917
concentration	CO2	C00011	NaN	NaN	7.08	0.101
concentration	D_Ribose_5_phosphate	C00117	0.23	NaN	7.94	0.24
concentration	Glycerone_phosphate	C00111	1.32	NaN	0.014	0.564
concentration	D_Glucose	C00031	17.4	NaN	8.91	0.103
concentration	D_Fructose_1_6_bisphosphate	C00354	1.16	NaN	0.00185	0.622
concentration	D_Glyceraldehyde_3_phosphate	C00118	NaN	NaN	0.00137	0.0426
concentration	Phosphoenolpyruvate	C00074	0.353	NaN	0.00119	0.0696
concentration	Citrate	C00158	0.703	NaN	0.0358	7.87
concentration	Succinyl_CoA	C00091	0.233	NaN	7.08	0.115
concentration	_3_Phospho_D_glycerate	C00197	0.796	NaN	0.00705	1.87
concentration	D_Glucono_1_5_lactone_6_phosphate	C01236	NaN	NaN	0.00112	0.102
concentration	D_Fructose_6_phosphate	C00085	0.336	NaN	0.00131	0.0339
concentration	_2_Phospho_D_glycerate	C00631	NaN	NaN	0.00133	0.121
concentration	Succinate	C00042	1.19	NaN	0.00112	0.0924
concentration	Sedoheptulose_7_phosphate	C05382	NaN	NaN	6.31	0.416
%						
!!SBtab DocumentName='E. coli central carbon metabolism - ECM result' TableType='Quantity' TableName='Predicted enzyme levels' Document='ECM metabolic state' Unit='mM' SBtabVersion='1.0'						
!QuantityType	!Reaction	!Reaction:Identifiers:kegg.reaction	data	emc3sp		
concentration of enzyme	PTS_RPTSsy	RPTSsy	0.022	0.0148		
concentration of enzyme	PGI_R02740	R02740	0.00764	0.0247		
concentration of enzyme	PFK_R04779	R04779	0.00396	0.01		
concentration of enzyme	ALD_R01070	R01070	0.0369	0.0345		
concentration of enzyme	TIM_R01015	R01015	0.0124	0.0109		
concentration of enzyme	GAP_R01061	R01061	0.0782	0.0237		
concentration of enzyme	PGK_R01512	R01512	0.0665	0.0037		
concentration of enzyme	PGM_R01518	R01518	0.025	0.0215		
concentration of enzyme	PGH_R00658	R00658	0.06	0.0312		
concentration of enzyme	PYK_R00200	R00200	0.0179	0.0096		
concentration of enzyme	PDH_R00209	R00209	0.00966	0.00464		
concentration of enzyme	ZWF_R00835	R00835	0.00205	0.000994		
concentration of enzyme	GLH_R02035	R02035	0.00299	0.000513		
concentration of enzyme	PGD_R01528	R01528	0.0234	0.000708		
concentration of enzyme	RPI_R01056	R01056	0.00458	0.0011		
concentration of enzyme	RPE_R01529	R01529	0.00087	0.0013		
concentration of enzyme	TXT_R01641	R01641	0.0077	0.0112		
concentration of enzyme	TAL_R08575	R08575	0.0201	0.0194		
concentration of enzyme	TXT_R01067	R01067	0.0077	0.00626		
concentration of enzyme	FBP_R00762	R00762	NaN	0		
concentration of enzyme	CSN_R00351	R00351	0.0161	4.84e-05		
concentration of enzyme	ACN_R01325	R01325	0.0136	0.0765		
concentration of enzyme	ACN_R01900	R01900	0.0136	0.0775		
concentration of enzyme	ICD_R00709	R00709	0.0559	0.000507		
concentration of enzyme	KGD_R08549	R08549	0.00283	8.09e-05		
concentration of enzyme	SCS_R00405	R00405	0.0103	0.0021		
concentration of enzyme	SDH_R02164	R02164	0.00143	0.000482		
concentration of enzyme	FUM_R01082	R01082	0.0031	0.00254		
concentration of enzyme	MDH_R00342	R00342	0.0882	0.00249		
concentration of enzyme	PPC_R00345	R00345	0.00603	0.000228		
%						
!!SBtab DocumentName='E. coli central carbon metabolism - ECM result' TableType='Quantity' TableName='Predicted driving forces' Document='ECM metabolic state' Unit='kJ/mol' SBtabVersion='1.0'						
!QuantityType	!Reaction	!Reaction:Identifiers:kegg.reaction	initial	emc3sp		
Gibbs energy of reaction	PTS_RPTSsy	RPTSsy	44.7	39.4		
Gibbs energy of reaction	PGI_R02740	R02740	19.1	4.45		
Gibbs energy of reaction	PFK_R04779	R04779	1.67	12.5		
Gibbs energy of reaction	ALD_R01070	R01070	7.19	3.94		
Gibbs energy of reaction	TIM_R01015	R01015	0.216	0.874		
Gibbs energy of reaction	GAP_R01061	R01061	8.57	2.45		
Gibbs energy of reaction	PGK_R01512	R01512	30.2	6.51		
Gibbs energy of reaction	PGM_R01518	R01518	0.000264	2.64		
Gibbs energy of reaction	PGH_R00658	R00658	4.35	5.46		
Gibbs energy of reaction	PYK_R00200	R00200	41	23		
Gibbs energy of reaction	PDH_R00209	R00209	14.5	54.5		
Gibbs energy of reaction	ZWF_R00835	R00835	50.6	10.6		
Gibbs energy of reaction	GLH_R02035	R02035	24.1	24.7		
Gibbs energy of reaction	PGD_R01528	R01528	1.95	10.5		
Gibbs energy of reaction	RPI_R01056	R01056	2.31	1.25		
Gibbs energy of reaction	RPE_R01529	R01529	3.66	1.32		
Gibbs energy of reaction	TXT_R01641	R01641	25.9	8.06		
Gibbs energy of reaction	TAL_R08575	R08575	22.2	4.7		
Gibbs energy of reaction	TXT_R01067	R01067	31.2	18.5		
Gibbs energy of reaction	FBP_R00762	R00762	NaN	NaN		
Gibbs energy of reaction	CSN_R00351	R00351	51.5	23.4		
Gibbs energy of reaction	ACN_R01325	R01325	0.00664	3.19		
Gibbs energy of reaction	ACN_R01900	R01900	1.02	4.43		
