!!SBtab TableType=Layout
!Element	!PositionX	!PositionY
C00001	0.448708	0.128361
C00002	0.056437	0.698009
C00003	0.057985	0.506062
C00004	0.059533	0.561789
C00005	0.061081	0.447240
C00006	0.059533	0.388417
C00008	0.054889	0.758379
C00009	0.056437	0.637639
C00010	0.391786	0.278709
C00011	0.544682	0.123717
C00013	0.056437	0.592748
C00014	0.057985	0.091210
C00020	0.056437	0.807914
C00080	0.759209	0.571076
C00390	0.317132	-0.032627
C00399	0.331064	-0.009408
C00022	0.352063	0.308997
C00024	0.359426	0.229020
C00026	0.643751	0.055607
C00031	0.110615	0.965805
C00033	0.944406	0.631188
C00036	0.355831	0.176347
C00037	0.139117	0.057155
C00042	0.465736	-0.051202
C00048	0.292365	-0.062038
C00058	0.666970	0.526186
C00065	0.461212	0.385428
C00067	0.461212	0.385428
C00074	0.352007	0.406884
C00083	0.697214	0.391502
C00084	0.160727	0.201835
C00085	0.351859	0.895258
C00091	0.586477	-0.018695
C00092	0.351859	0.965424
C00100	0.779543	-0.138662
C00101	0.588025	0.374486
C00111	0.267748	0.745939
C00117	0.613611	0.761470
C00118	0.352021	0.721029
C00122	0.362438	-0.001611
C00138	0.533846	0.077278
C00139	0.552422	0.102045
C00143	0.575641	0.275417
C00149	0.327720	0.095058
C00158	0.445962	0.220921
C00168	0.461212	0.385428
C00184	0.461212	0.385428
C00186	0.601956	0.255293
C00197	0.352021	0.569228
C00198	0.501131	1.018436
C00199	0.668449	0.871147
C00204	0.767158	0.904050
C00209	0.666970	-0.052750
C00222	0.800176	0.458338
C00227	0.722697	0.656214
C00231	0.608910	0.841377
C00232	0.512175	-0.102285
C00234	0.634463	0.431760
C00236	0.352021	0.642030
C00256	0.601956	0.309472
C00257	0.726732	1.019210
C00258	0.449670	0.500707
C00279	0.503642	0.870531
C00311	0.637559	0.137648
C00313	0.504435	-0.080614
C00332	0.175178	0.228931
C00345	0.616335	0.956914
C00354	0.351859	0.828211
C00417	0.561709	0.210402
C00440	0.540038	0.176347
C00445	0.621588	0.377153
C00447	0.493405	0.789131
C00469	0.018025	0.201835
C00546	0.241282	0.533925
C00577	0.561906	0.556218
C00631	0.352021	0.485582
C00683	0.779543	-0.067408
C00725	0.461212	0.385428
C00827	0.803191	0.250649
C00877	0.112802	0.055607
C00894	0.903160	0.102114
C00989	0.371311	-0.113121
C01011	0.267302	0.265058
C01013	0.903138	0.478207
C01144	0.111254	0.162416
C01182	0.536866	0.661217
C01213	0.779543	0.010042
C01236	0.493599	0.982833
C02147	0.461212	0.385428
C02331	0.148405	-0.048107
C03961	0.155760	0.155647
C04348	0.476839	0.095261
C04442	0.910641	0.744278
C05382	0.574673	0.821603
C05668	0.903138	0.293959
C06019	0.461212	0.385428
C06027	0.162331	-0.138532
C06028	0.081843	0.030839
C11062	0.231994	-0.100737
C18323	0.081843	0.236718
C80069	0.461212	0.385428
